Index,X,Y,Z
0,0.0,0.0,0.0
1,0.002,0.0,0.0
2,0.004,0.0,0.0
3,0.006,0.0,0.0
4,0.008,0.0,0.0
5,0.01,0.0,0.0
6,0.012,0.0,0.0
7,0.013999999999999999,0.0,0.0
8,0.016,0.0,0.0
9,0.018000000000000002,0.0,0.0
10,0.02,0.0,0.0
11,0.02094150914873414,3.699199520246395e-05,0.0
12,0.021877213580482772,0.0001477399128583471,0.0
13,0.022801344366270865,0.000331560955227881,0.0
14,0.02370820393249937,0.0005873218044581581,0.0
15,0.02459220118838108,0.0009134456098645587,0.0
16,0.025447885996874562,0.0013079217097395866,0.0
17,0.026269982776591386,0.0017683180277508932,0.0
18,0.02705342302750968,0.0022917960675006305,0.0
19,0.027793376579962205,0.002875128412799629,0.0
20,0.028485281374238572,0.0035147186257614305,0.0
21,0.029124871587200375,0.0042066234200377976,0.0
22,0.029708203932499372,0.004946576972490322,0.0
23,0.030231681972249107,0.005730017223408614,0.0
24,0.030692078290260418,0.0065521140031254395,0.0
25,0.03108655439013544,0.007407798811618922,0.0
26,0.031412678195541846,0.00829179606750063,0.0
27,0.03166843904477212,0.009198655633729135,0.0
28,0.031852260087141655,0.01012278641951723,0.0
29,0.03196300800479754,0.01105849085126586,0.0
30,0.032,0.012,0.0
31,0.03196300800479754,0.01294150914873414,0.0
32,0.03185226008714165,0.013877213580482774,0.0
33,0.03166843904477212,0.014801344366270862,0.0
34,0.031412678195541846,0.01570820393249937,0.0
35,0.03108655439013544,0.01659220118838108,0.0
36,0.030692078290260418,0.017447885996874562,0.0
37,0.030231681972249107,0.018269982776591386,0.0
38,0.029708203932499372,0.01905342302750968,0.0
39,0.029124871587200372,0.019793376579962205,0.0
40,0.028485281374238572,0.02048528137423857,0.0
41,0.027793376579962205,0.02112487158720037,0.0
42,0.02705342302750968,0.02170820393249937,0.0
43,0.026269982776591386,0.022231681972249107,0.0
44,0.025447885996874562,0.022692078290260414,0.0
45,0.02459220118838108,0.02308655439013544,0.0
46,0.02370820393249937,0.023412678195541842,0.0
47,0.022801344366270865,0.02366843904477212,0.0
48,0.021877213580482772,0.023852260087141655,0.0
49,0.02094150914873414,0.02396300800479754,0.0
50,0.018666666666666668,0.024,0.0
51,0.017333333333333333,0.024,0.0
52,0.016,0.024,0.0
53,0.014666666666666668,0.024,0.0
54,0.013333333333333334,0.024,0.0
55,0.012,0.024,0.0
56,0.010666666666666666,0.024,0.0
57,0.009333333333333334,0.024,0.0
58,0.008,0.024,0.0
59,0.006666666666666668,0.024,0.0
60,0.005333333333333334,0.024,0.0
61,0.004,0.024,0.0
62,0.0026666666666666644,0.024,0.0
63,0.0013333333333333322,0.024,0.0
64,0.0,0.024,0.0
65,-0.0009415091487341385,0.02403699199520247,0.0
66,-0.00187721358048277,0.024147739912858353,0.0
67,-0.002801344366270864,0.024331560955227885,0.0
68,-0.0037082039324993683,0.024587321804458162,0.0
69,-0.004592201188381077,0.02491344560986456,0.0
70,-0.005447885996874561,0.02530792170973959,0.0
71,-0.006269982776591386,0.025768318027750897,0.0
72,-0.0070534230275096765,0.026291796067500636,0.0
73,-0.007793376579962203,0.026875128412799633,0.0
74,-0.00848528137423857,0.027514718625761433,0.0
75,-0.009124871587200371,0.0282066234200378,0.0
76,-0.009708203932499368,0.028946576972490326,0.0
77,-0.010231681972249107,0.029730017223408615,0.0
78,-0.010692078290260414,0.030552114003125443,0.0
79,-0.011086554390135442,0.031407798811618926,0.0
80,-0.011412678195541842,0.032291796067500635,0.0
81,-0.01166843904477212,0.03319865563372914,0.0
82,-0.011852260087141651,0.034122786419517236,0.0
83,-0.011963008004797536,0.03505849085126586,0.0
84,-0.012,0.036000000000000004,0.0
85,-0.011963008004797536,0.03694150914873414,0.0
86,-0.011852260087141653,0.03787721358048277,0.0
87,-0.011668439044772121,0.03880134436627086,0.0
88,-0.011412678195541844,0.039708203932499374,0.0
89,-0.011086554390135443,0.04059220118838108,0.0
90,-0.010692078290260415,0.041447885996874566,0.0
91,-0.010231681972249107,0.042269982776591386,0.0
92,-0.009708203932499371,0.04305342302750968,0.0
93,-0.009124871587200373,0.043793376579962205,0.0
94,-0.008485281374238573,0.04448528137423857,0.0
95,-0.00779337657996221,0.04512487158720037,0.0
96,-0.007053423027509679,0.04570820393249937,0.0
97,-0.006269982776591383,0.04623168197224911,0.0
98,-0.005447885996874563,0.04669207829026042,0.0
99,-0.004592201188381084,0.04708655439013544,0.0
100,-0.003708203932499371,0.047412678195541846,0.0
101,-0.0028013443662708616,0.04766843904477212,0.0
102,-0.0018772135804827725,0.047852260087141656,0.0
103,-0.0009415091487341468,0.04796300800479754,0.0
104,-2.2043642384652355e-18,0.048,0.0
105,0.001999999999999998,0.048,0.0
106,0.0039999999999999975,0.048,0.0
107,0.0059999999999999975,0.048,0.0
108,0.007999999999999998,0.048,0.0
109,0.009999999999999998,0.048,0.0
110,0.011999999999999999,0.048,0.0
111,0.013999999999999997,0.048,0.0
112,0.015999999999999997,0.048,0.0
113,0.018,0.048,0.0
114,0.019999999999999997,0.048,0.0
